date,product_id,brand,storage_variant,category,price,units_sold,revenue,stock,discount,views,clicks,add_to_cart,purchases,bounce_rate,flipkart_price,amazon_price,myntra_price,day_of_week,month,is_weekend
2024-01-01,M100,Samsung,64GB,Mobile,13648,18,245664,124,0,475,75,15,18,66.62,13487,12541,13381,0,1,0
2024-01-01,M101,Samsung,128GB,Mobile,18024,7,126168,47,0,148,35,8,7,61.85,17192,19099,16759,0,1,0
2024-01-01,M102,Redmi,128GB,Mobile,27870,28,780360,105,0,674,72,32,28,78.58,29521,26033,27479,0,1,0
2024-01-01,M103,Redmi,64GB,Mobile,11041,14,154574,41,0,326,84,64,14,72.94,11334,10428,11657,0,1,0
2024-01-01,M104,Realme,128GB,Mobile,15860,2,31720,107,10,22,4,0,2,33.67,15852,16369,16927,0,1,0
2024-01-01,M105,Realme,64GB,Mobile,28390,35,993650,121,0,603,173,68,35,74.89,30500,28337,27251,0,1,0
2024-01-01,M106,iQOO,128GB,Mobile,23746,38,902348,87,0,986,358,133,38,32.68,25433,24280,23660,0,1,0
2024-01-01,M107,iQOO,256GB,Mobile,19115,11,210265,127,0,211,82,57,11,46.4,19255,18299,17995,0,1,0
2024-01-01,M108,OnePlus,128GB,Mobile,22655,10,226550,65,5,154,16,9,10,48.26,22533,25360,23604,0,1,0
2024-01-01,M109,OnePlus,256GB,Mobile,16202,6,97212,43,5,161,23,12,6,75.98,16079,14989,15406,0,1,0
2024-01-01,M110,Motorola,128GB,Mobile,22449,23,516327,75,0,323,126,48,23,45.24,22244,24540,23453,0,1,0
2024-01-01,M111,Motorola,128GB,Mobile,28292,3,84876,133,5,86,23,18,3,54.48,29133,30329,27921,0,1,0
2024-01-01,M112,Vivo,128GB,Mobile,22548,25,563700,45,10,393,138,37,25,56.86,22624,24326,23527,0,1,0
2024-01-01,M113,Vivo,64GB,Mobile,11323,40,452920,67,10,1189,380,191,40,50.49,12394,10641,10820,0,1,0
2024-01-01,M114,Oppo,128GB,Mobile,19665,5,98325,54,10,114,38,17,5,33.08,20651,19769,19314,0,1,0
2024-01-01,M115,Oppo,128GB,Mobile,10350,19,196650,59,10,358,121,29,19,43.23,10537,11049,10086,0,1,0
2024-01-01,M116,Poco,256GB,Mobile,12614,7,88298,140,0,122,48,22,7,32.26,13544,11391,13177,0,1,0
2024-01-01,M117,Poco,128GB,Mobile,21332,24,511968,88,5,588,101,64,24,50.9,22134,23744,22205,0,1,0
2024-01-01,M118,Infinix,128GB,Mobile,14562,14,203868,75,5,397,135,88,14,79.24,15953,13896,14443,0,1,0
2024-01-01,M119,Tecno,64GB,Mobile,16873,5,84365,149,10,53,15,8,5,70.89,17598,16407,16601,0,1,0
