date,product_id,product_name,flipkart_price,amazon_price,myntra_price
2024-01-01,M100,Galaxy M14,13487,12541,13381
2024-01-01,M101,Galaxy A15,17192,19099,16759
2024-01-01,M102,Note 12,29521,26033,27479
2024-01-01,M103,12C,11334,10428,11657
2024-01-01,M104,Narzo 60,15852,16369,16927
2024-01-01,M105,C55,30500,28337,27251
2024-01-01,M106,Z7 5G,25433,24280,23660
2024-01-01,M107,Neo 7 Pro,19255,18299,17995
2024-01-01,M108,Nord CE 3 Lite,22533,25360,23604
2024-01-01,M109,Nord 3 5G,16079,14989,15406
2024-01-01,M110,G73 5G,22244,24540,23453
2024-01-01,M111,Edge 40 Neo,29133,30329,27921
2024-01-01,M112,T2 5G,22624,24326,23527
2024-01-01,M113,Y27,12394,10641,10820
2024-01-01,M114,A78,20651,19769,19314
2024-01-01,M115,Reno8 T,10537,11049,10086
2024-01-01,M116,X5 Pro,13544,11391,13177
2024-01-01,M117,M6 Pro,22134,23744,22205
2024-01-01,M118,Zero 5G 2023,15953,13896,14443
2024-01-01,M119,Spark 10,17598,16407,16601
2024-01-02,M100,Galaxy M14,26822,29838,25588
2024-01-02,M101,Galaxy A15,17252,18511,17842
2024-01-02,M102,Note 12,16955,18567,16946
2024-01-02,M103,12C,15625,15645,15992
2024-01-02,M104,Narzo 60,17157,18302,18253
2024-01-02,M105,C55,23704,19842,23552
2024-01-02,M106,Z7 5G,27251,25804,26847
2024-01-02,M107,Neo 7 Pro,27069,23441,24824
2024-01-02,M108,Nord CE 3 Lite,13818,13287,14035
2024-01-02,M109,Nord 3 5G,27744,23823,27069
2024-01-02,M110,G73 5G,22015,23522,21125
2024-01-02,M111,Edge 40 Neo,18104,16349,17602
2024-01-02,M112,T2 5G,13591,12441,11990
2024-01-02,M113,Y27,14499,13998,13857
2024-01-02,M114,A78,32047,28148,28682
2024-01-02,M115,Reno8 T,27783,30472,29409
2024-01-02,M116,X5 Pro,26977,29122,30357
2024-01-02,M117,M6 Pro,25924,28712,27325
2024-01-02,M118,Zero 5G 2023,12910,12885,13024
2024-01-02,M119,Spark 10,26244,27248,25344
2024-01-03,M100,Galaxy M14,28875,27458,24488
2024-01-03,M101,Galaxy A15,18812,17589,18907
2024-01-03,M102,Note 12,17774,18274,15655
2024-01-03,M103,12C,24279,24821,24767
2024-01-03,M104,Narzo 60,27207,28087,27946
2024-01-03,M105,C55,13267,14375,12119
2024-01-03,M106,Z7 5G,19334,16542,18940
2024-01-03,M107,Neo 7 Pro,12246,13371,11999
2024-01-03,M108,Nord CE 3 Lite,12032,11987,10571
2024-01-03,M109,Nord 3 5G,13158,12900,11892
2024-01-03,M110,G73 5G,13951,15235,13972
2024-01-03,M111,Edge 40 Neo,22941,25105,22403
2024-01-03,M112,T2 5G,15136,16286,15452
2024-01-03,M113,Y27,21411,20455,21713
2024-01-03,M114,A78,25031,26265,24884
2024-01-03,M115,Reno8 T,11913,12195,11455
2024-01-03,M116,X5 Pro,31869,27463,30390
2024-01-03,M117,M6 Pro,12231,11208,11861
2024-01-03,M118,Zero 5G 2023,22827,21630,19580
2024-01-03,M119,Spark 10,17626,17960,18285
2024-01-04,M100,Galaxy M14,28576,27580,29824
2024-01-04,M101,Galaxy A15,27940,27061,27186
2024-01-04,M102,Note 12,24404,23667,23602
2024-01-04,M103,12C,23353,21335,22756
2024-01-04,M104,Narzo 60,22899,21359,24435
2024-01-04,M105,C55,12518,11744,10575
2024-01-04,M106,Z7 5G,14933,14567,12904
2024-01-04,M107,Neo 7 Pro,27864,24857,25948
2024-01-04,M108,Nord CE 3 Lite,15023,14591,16417
2024-01-04,M109,Nord 3 5G,12103,12933,12331
2024-01-04,M110,G73 5G,14457,12892,12816
2024-01-04,M111,Edge 40 Neo,11518,11412,11235
2024-01-04,M112,T2 5G,15169,15877,14284
2024-01-04,M113,Y27,16422,17317,17362
2024-01-04,M114,A78,14881,13245,14521
2024-01-04,M115,Reno8 T,18606,19788,18055
2024-01-04,M116,X5 Pro,27267,23503,23752
2024-01-04,M117,M6 Pro,16235,16554,14584
2024-01-04,M118,Zero 5G 2023,10579,10115,10552
2024-01-04,M119,Spark 10,10736,10545,11639
2024-01-05,M100,Galaxy M14,11298,11645,10050
2024-01-05,M101,Galaxy A15,28887,29110,28387
2024-01-05,M102,Note 12,12324,13397,11681
2024-01-05,M103,12C,16384,18646,17354
2024-01-05,M104,Narzo 60,16547,17385,16509
2024-01-05,M105,C55,11976,12406,12254
2024-01-05,M106,Z7 5G,27653,27409,26721
2024-01-05,M107,Neo 7 Pro,15333,14289,15510
2024-01-05,M108,Nord CE 3 Lite,17301,16578,17018
2024-01-05,M109,Nord 3 5G,19946,18486,17922
2024-01-05,M110,G73 5G,9359,10746,10261
2024-01-05,M111,Edge 40 Neo,13043,12843,13038
2024-01-05,M112,T2 5G,27447,23794,24827
2024-01-05,M113,Y27,12506,12404,12619
2024-01-05,M114,A78,15814,13699,14411
2024-01-05,M115,Reno8 T,17656,18622,18873
2024-01-05,M116,X5 Pro,10129,8940,8948
2024-01-05,M117,M6 Pro,18487,19483,16489
2024-01-05,M118,Zero 5G 2023,18863,20719,19417
2024-01-05,M119,Spark 10,30029,30633,29304
2024-01-06,M100,Galaxy M14,30853,30994,29232
2024-01-06,M101,Galaxy A15,15849,13578,14140
2024-01-06,M102,Note 12,27725,24343,25700
2024-01-06,M103,12C,12653,12499,10951
2024-01-06,M104,Narzo 60,12295,10970,11009
2024-01-06,M105,C55,18246,19836,18971
2024-01-06,M106,Z7 5G,24195,26089,25201
2024-01-06,M107,Neo 7 Pro,11192,9420,10446
2024-01-06,M108,Nord CE 3 Lite,27348,28033,29548
2024-01-06,M109,Nord 3 5G,25239,28922,24986
2024-01-06,M110,G73 5G,13788,14604,14187
2024-01-06,M111,Edge 40 Neo,11150,11606,10905
2024-01-06,M112,T2 5G,13652,11543,12432
2024-01-06,M113,Y27,19942,21962,21925
2024-01-06,M114,A78,19470,18409,19007
2024-01-06,M115,Reno8 T,24062,23361,23263
2024-01-06,M116,X5 Pro,23215,19310,21574
2024-01-06,M117,M6 Pro,18896,17009,17954
2024-01-06,M118,Zero 5G 2023,22457,25075,20843
2024-01-06,M119,Spark 10,18665,16801,18623
2024-01-07,M100,Galaxy M14,20190,20229,18808
2024-01-07,M101,Galaxy A15,18525,18500,16247
2024-01-07,M102,Note 12,23663,21034,23366
2024-01-07,M103,12C,18414,20033,18169
2024-01-07,M104,Narzo 60,20357,19175,22057
2024-01-07,M105,C55,20182,23287,20070
2024-01-07,M106,Z7 5G,14262,14819,14620
2024-01-07,M107,Neo 7 Pro,12726,12527,12700
2024-01-07,M108,Nord CE 3 Lite,19670,20454,18055
2024-01-07,M109,Nord 3 5G,13188,14645,13906
2024-01-07,M110,G73 5G,16493,14034,16314
2024-01-07,M111,Edge 40 Neo,8915,8726,9034
2024-01-07,M112,T2 5G,15827,17351,15805
2024-01-07,M113,Y27,17850,20329,18343
2024-01-07,M114,A78,18500,18199,17010
2024-01-07,M115,Reno8 T,19843,21583,21194
2024-01-07,M116,X5 Pro,30517,31465,27807
2024-01-07,M117,M6 Pro,20744,18638,18830
2024-01-07,M118,Zero 5G 2023,29503,29428,25981
2024-01-07,M119,Spark 10,10094,8598,9336
2024-01-08,M100,Galaxy M14,21276,20937,22133
2024-01-08,M101,Galaxy A15,26310,25032,25488
2024-01-08,M102,Note 12,26020,23575,23391
2024-01-08,M103,12C,12594,11014,11394
2024-01-08,M104,Narzo 60,20552,19814,21421
2024-01-08,M105,C55,22111,18282,19268
2024-01-08,M106,Z7 5G,15853,14467,14666
2024-01-08,M107,Neo 7 Pro,22457,22271,24811
2024-01-08,M108,Nord CE 3 Lite,24483,25173,23909
2024-01-08,M109,Nord 3 5G,16131,15918,14826
2024-01-08,M110,G73 5G,26870,24045,25271
2024-01-08,M111,Edge 40 Neo,9737,10085,10264
2024-01-08,M112,T2 5G,18116,16671,18492
2024-01-08,M113,Y27,24328,24944,26159
2024-01-08,M114,A78,12937,12775,14006
2024-01-08,M115,Reno8 T,26730,25661,24467
2024-01-08,M116,X5 Pro,23570,24471,21307
2024-01-08,M117,M6 Pro,20765,22465,20564
2024-01-08,M118,Zero 5G 2023,23786,22372,22339
2024-01-08,M119,Spark 10,17640,18392,16005
2024-01-09,M100,Galaxy M14,18218,19297,18041
2024-01-09,M101,Galaxy A15,17689,17425,17276
2024-01-09,M102,Note 12,27810,25370,27731
2024-01-09,M103,12C,17948,17513,17634
2024-01-09,M104,Narzo 60,17125,18584,15765
2024-01-09,M105,C55,19774,17661,18038
2024-01-09,M106,Z7 5G,12503,10922,12604
2024-01-09,M107,Neo 7 Pro,21540,20829,22081
2024-01-09,M108,Nord CE 3 Lite,27392,30177,27594
2024-01-09,M109,Nord 3 5G,21372,20581,21400
2024-01-09,M110,G73 5G,22239,23068,21508
2024-01-09,M111,Edge 40 Neo,29134,26945,29539
2024-01-09,M112,T2 5G,17651,16522,16704
2024-01-09,M113,Y27,23657,23198,21291
2024-01-09,M114,A78,15315,14158,14296
2024-01-09,M115,Reno8 T,28981,27516,27592
2024-01-09,M116,X5 Pro,28891,24261,25138
2024-01-09,M117,M6 Pro,12579,12152,11197
2024-01-09,M118,Zero 5G 2023,26336,27724,23175
2024-01-09,M119,Spark 10,20418,19506,19940
2024-01-10,M100,Galaxy M14,20786,20777,18336
2024-01-10,M101,Galaxy A15,19646,16354,19521
2024-01-10,M102,Note 12,26102,24870,26338
2024-01-10,M103,12C,10746,12088,11948
2024-01-10,M104,Narzo 60,10982,10665,10867
2024-01-10,M105,C55,10452,8657,9945
2024-01-10,M106,Z7 5G,13330,13047,13038
2024-01-10,M107,Neo 7 Pro,30832,30016,27956
2024-01-10,M108,Nord CE 3 Lite,22053,21633,20596
2024-01-10,M109,Nord 3 5G,13620,15212,14112
2024-01-10,M110,G73 5G,30626,30477,30044
2024-01-10,M111,Edge 40 Neo,26878,25928,24162
2024-01-10,M112,T2 5G,22271,21414,21231
2024-01-10,M113,Y27,25617,24661,25425
2024-01-10,M114,A78,12298,11943,11257
2024-01-10,M115,Reno8 T,32128,28716,31903
2024-01-10,M116,X5 Pro,10492,11477,9979
2024-01-10,M117,M6 Pro,22384,21597,23052
2024-01-10,M118,Zero 5G 2023,10780,9798,9222
2024-01-10,M119,Spark 10,12382,13806,12606
2024-01-11,M100,Galaxy M14,15077,13772,13321
2024-01-11,M101,Galaxy A15,17904,17646,15612
2024-01-11,M102,Note 12,23559,25927,23447
2024-01-11,M103,12C,18825,16550,17724
2024-01-11,M104,Narzo 60,13097,11882,11940
2024-01-11,M105,C55,18765,17826,18199
2024-01-11,M106,Z7 5G,20828,21736,21798
2024-01-11,M107,Neo 7 Pro,22666,19457,20666
2024-01-11,M108,Nord CE 3 Lite,19823,19578,19825
2024-01-11,M109,Nord 3 5G,28803,24946,26602
2024-01-11,M110,G73 5G,29975,27028,28675
2024-01-11,M111,Edge 40 Neo,12271,14289,12830
2024-01-11,M112,T2 5G,25734,24828,24451
2024-01-11,M113,Y27,21935,24436,22550
2024-01-11,M114,A78,25727,27123,25591
2024-01-11,M115,Reno8 T,16242,16650,15265
2024-01-11,M116,X5 Pro,18597,17801,17542
2024-01-11,M117,M6 Pro,23342,21565,21216
2024-01-11,M118,Zero 5G 2023,22091,20269,20811
2024-01-11,M119,Spark 10,21092,21501,20406
2024-01-12,M100,Galaxy M14,19156,17472,20437
2024-01-12,M101,Galaxy A15,15532,15514,16409
2024-01-12,M102,Note 12,16489,17418,17030
2024-01-12,M103,12C,17256,16707,17296
2024-01-12,M104,Narzo 60,29170,29705,29380
2024-01-12,M105,C55,19216,19575,18908
2024-01-12,M106,Z7 5G,19856,18516,19852
2024-01-12,M107,Neo 7 Pro,13025,12998,12932
2024-01-12,M108,Nord CE 3 Lite,27491,29497,27451
2024-01-12,M109,Nord 3 5G,26997,23819,24674
2024-01-12,M110,G73 5G,29658,28348,27997
2024-01-12,M111,Edge 40 Neo,23648,21769,22521
2024-01-12,M112,T2 5G,16768,18097,17967
2024-01-12,M113,Y27,21354,21285,21395
2024-01-12,M114,A78,12033,12529,12673
2024-01-12,M115,Reno8 T,19689,19238,21420
2024-01-12,M116,X5 Pro,29007,24994,26324
2024-01-12,M117,M6 Pro,15014,14297,14749
2024-01-12,M118,Zero 5G 2023,25084,22077,21475
2024-01-12,M119,Spark 10,22093,20894,22571
2024-01-13,M100,Galaxy M14,11582,10135,10399
2024-01-13,M101,Galaxy A15,15425,15205,15557
2024-01-13,M102,Note 12,13312,14080,12399
2024-01-13,M103,12C,29479,29091,29160
2024-01-13,M104,Narzo 60,24076,24714,20522
2024-01-13,M105,C55,25312,23984,25056
2024-01-13,M106,Z7 5G,18099,17284,18713
2024-01-13,M107,Neo 7 Pro,11330,11413,11925
2024-01-13,M108,Nord CE 3 Lite,28781,27794,25766
2024-01-13,M109,Nord 3 5G,25145,23832,25001
2024-01-13,M110,G73 5G,13595,13381,13040
2024-01-13,M111,Edge 40 Neo,12550,12284,11924
2024-01-13,M112,T2 5G,27699,26531,27400
2024-01-13,M113,Y27,19518,17408,18675
2024-01-13,M114,A78,18432,19907,17802
2024-01-13,M115,Reno8 T,25816,24602,22932
2024-01-13,M116,X5 Pro,11338,11880,11882
2024-01-13,M117,M6 Pro,19341,17175,17305
2024-01-13,M118,Zero 5G 2023,12623,14103,13681
2024-01-13,M119,Spark 10,31348,32573,30324
2024-01-14,M100,Galaxy M14,28054,32069,28278
2024-01-14,M101,Galaxy A15,23686,21711,23420
2024-01-14,M102,Note 12,20766,18086,19272
2024-01-14,M103,12C,27971,24835,24489
2024-01-14,M104,Narzo 60,24082,24631,21967
2024-01-14,M105,C55,14663,15807,15386
2024-01-14,M106,Z7 5G,17862,18360,18650
2024-01-14,M107,Neo 7 Pro,28361,28222,27970
2024-01-14,M108,Nord CE 3 Lite,18649,21587,20237
2024-01-14,M109,Nord 3 5G,21693,22957,21895
2024-01-14,M110,G73 5G,25536,26619,28090
2024-01-14,M111,Edge 40 Neo,14084,14941,15492
2024-01-14,M112,T2 5G,24273,23008,23203
2024-01-14,M113,Y27,17235,15648,15029
2024-01-14,M114,A78,18377,17473,19559
2024-01-14,M115,Reno8 T,14796,13509,14642
2024-01-14,M116,X5 Pro,16548,17912,16598
2024-01-14,M117,M6 Pro,29763,30493,27806
2024-01-14,M118,Zero 5G 2023,13992,13074,13161
2024-01-14,M119,Spark 10,25169,22750,25803
2024-01-15,M100,Galaxy M14,18496,19400,18805
2024-01-15,M101,Galaxy A15,14562,16903,16004
2024-01-15,M102,Note 12,23596,23820,22114
2024-01-15,M103,12C,11308,12514,12404
2024-01-15,M104,Narzo 60,19889,19263,17671
2024-01-15,M105,C55,9789,9345,9997
2024-01-15,M106,Z7 5G,18512,18606,20255
2024-01-15,M107,Neo 7 Pro,21159,21703,20958
2024-01-15,M108,Nord CE 3 Lite,14832,13498,12665
2024-01-15,M109,Nord 3 5G,21047,20248,20547
2024-01-15,M110,G73 5G,12620,12581,12170
2024-01-15,M111,Edge 40 Neo,16951,17012,16469
2024-01-15,M112,T2 5G,22526,24779,23102
2024-01-15,M113,Y27,18604,17150,19660
2024-01-15,M114,A78,24223,21914,23480
2024-01-15,M115,Reno8 T,20382,21401,22138
2024-01-15,M116,X5 Pro,18347,17310,17835
2024-01-15,M117,M6 Pro,19400,16672,17168
2024-01-15,M118,Zero 5G 2023,11990,12444,12705
2024-01-15,M119,Spark 10,18572,19365,18808
2024-01-16,M100,Galaxy M14,13197,11443,12542
2024-01-16,M101,Galaxy A15,26658,22810,26543
2024-01-16,M102,Note 12,22066,22843,21531
2024-01-16,M103,12C,24258,26841,22288
2024-01-16,M104,Narzo 60,19746,20859,19407
2024-01-16,M105,C55,28439,24098,25987
2024-01-16,M106,Z7 5G,30340,28540,25990
2024-01-16,M107,Neo 7 Pro,15564,16523,15558
2024-01-16,M108,Nord CE 3 Lite,15977,14576,14582
2024-01-16,M109,Nord 3 5G,11960,12775,12692
2024-01-16,M110,G73 5G,23909,26679,22985
2024-01-16,M111,Edge 40 Neo,11171,11381,10694
2024-01-16,M112,T2 5G,18596,20552,18344
2024-01-16,M113,Y27,16053,15760,15358
2024-01-16,M114,A78,25236,24859,25710
2024-01-16,M115,Reno8 T,15107,14540,14784
2024-01-16,M116,X5 Pro,19422,18577,20016
2024-01-16,M117,M6 Pro,25704,23422,23515
2024-01-16,M118,Zero 5G 2023,22743,21116,21014
2024-01-16,M119,Spark 10,17757,17372,17121
2024-01-17,M100,Galaxy M14,24630,23796,24453
2024-01-17,M101,Galaxy A15,15444,14432,14375
2024-01-17,M102,Note 12,26540,28517,29974
2024-01-17,M103,12C,18946,18350,16849
2024-01-17,M104,Narzo 60,16612,17549,14934
2024-01-17,M105,C55,13182,13256,12416
2024-01-17,M106,Z7 5G,20745,17806,20818
2024-01-17,M107,Neo 7 Pro,9725,10014,9913
2024-01-17,M108,Nord CE 3 Lite,9840,8996,9298
2024-01-17,M109,Nord 3 5G,26560,28153,25276
2024-01-17,M110,G73 5G,15936,16222,15190
2024-01-17,M111,Edge 40 Neo,14925,16437,16200
2024-01-17,M112,T2 5G,17524,17193,15165
2024-01-17,M113,Y27,12284,11960,12332
2024-01-17,M114,A78,19013,21189,18846
2024-01-17,M115,Reno8 T,14116,13462,15076
2024-01-17,M116,X5 Pro,18037,20719,18533
2024-01-17,M117,M6 Pro,16059,16293,16818
2024-01-17,M118,Zero 5G 2023,19330,20320,18292
2024-01-17,M119,Spark 10,15036,14296,13639
2024-01-18,M100,Galaxy M14,17536,19035,17052
2024-01-18,M101,Galaxy A15,12779,11870,13768
2024-01-18,M102,Note 12,16987,14833,16378
2024-01-18,M103,12C,25687,26853,25423
2024-01-18,M104,Narzo 60,9650,9959,10120
2024-01-18,M105,C55,25841,25820,25217
2024-01-18,M106,Z7 5G,28664,29397,27636
2024-01-18,M107,Neo 7 Pro,12121,12426,11995
2024-01-18,M108,Nord CE 3 Lite,9370,10421,10492
2024-01-18,M109,Nord 3 5G,19674,18741,19767
2024-01-18,M110,G73 5G,23088,21487,22700
2024-01-18,M111,Edge 40 Neo,14946,12615,12946
2024-01-18,M112,T2 5G,20320,17214,18518
2024-01-18,M113,Y27,16767,16364,17056
2024-01-18,M114,A78,24315,23150,25377
2024-01-18,M115,Reno8 T,20765,21410,20796
2024-01-18,M116,X5 Pro,21031,22827,22259
2024-01-18,M117,M6 Pro,22417,21166,21092
2024-01-18,M118,Zero 5G 2023,16129,17074,16000
2024-01-18,M119,Spark 10,21611,19862,23089
2024-01-19,M100,Galaxy M14,27284,26480,24727
2024-01-19,M101,Galaxy A15,22098,23285,21279
2024-01-19,M102,Note 12,24816,24968,23894
2024-01-19,M103,12C,31009,30323,27465
2024-01-19,M104,Narzo 60,17407,19679,18471
2024-01-19,M105,C55,16081,16470,17605
2024-01-19,M106,Z7 5G,16071,14634,15518
2024-01-19,M107,Neo 7 Pro,19954,19369,21133
2024-01-19,M108,Nord CE 3 Lite,9722,10226,9815
2024-01-19,M109,Nord 3 5G,12897,12379,13011
2024-01-19,M110,G73 5G,11710,13161,11650
2024-01-19,M111,Edge 40 Neo,14600,12990,14588
2024-01-19,M112,T2 5G,28168,30708,25750
2024-01-19,M113,Y27,17790,18147,19528
2024-01-19,M114,A78,29275,25938,27024
2024-01-19,M115,Reno8 T,23789,25921,23923
2024-01-19,M116,X5 Pro,23900,23449,26030
2024-01-19,M117,M6 Pro,26763,25573,27611
2024-01-19,M118,Zero 5G 2023,27879,28095,24022
2024-01-19,M119,Spark 10,11837,12538,11065
2024-01-20,M100,Galaxy M14,21763,20530,22818
2024-01-20,M101,Galaxy A15,25785,24699,22851
2024-01-20,M102,Note 12,17893,19961,18523
2024-01-20,M103,12C,12986,13112,13882
2024-01-20,M104,Narzo 60,26485,23642,27053
2024-01-20,M105,C55,25594,27450,28508
2024-01-20,M106,Z7 5G,25448,22204,25239
2024-01-20,M107,Neo 7 Pro,12018,12084,12465
2024-01-20,M108,Nord CE 3 Lite,15554,16151,16944
2024-01-20,M109,Nord 3 5G,22868,24716,20900
2024-01-20,M110,G73 5G,22147,22996,20725
2024-01-20,M111,Edge 40 Neo,20198,20955,20548
2024-01-20,M112,T2 5G,23959,24437,22337
2024-01-20,M113,Y27,13167,11611,12068
2024-01-20,M114,A78,12710,12687,11874
2024-01-20,M115,Reno8 T,13470,11686,12221
2024-01-20,M116,X5 Pro,28928,25440,27032
2024-01-20,M117,M6 Pro,22484,23174,21758
2024-01-20,M118,Zero 5G 2023,11601,10435,10902
2024-01-20,M119,Spark 10,22132,21181,21582
2024-01-21,M100,Galaxy M14,17502,15356,17212
2024-01-21,M101,Galaxy A15,17565,16523,16030
2024-01-21,M102,Note 12,21558,20533,23803
2024-01-21,M103,12C,27429,27209,28393
2024-01-21,M104,Narzo 60,27384,24566,27069
2024-01-21,M105,C55,10192,10001,9359
2024-01-21,M106,Z7 5G,10765,11784,10536
2024-01-21,M107,Neo 7 Pro,21128,19023,19988
2024-01-21,M108,Nord CE 3 Lite,13454,12415,13917
2024-01-21,M109,Nord 3 5G,12085,11525,11580
2024-01-21,M110,G73 5G,11835,12398,11711
2024-01-21,M111,Edge 40 Neo,21034,21751,20395
2024-01-21,M112,T2 5G,14756,14278,15265
2024-01-21,M113,Y27,26808,27291,26812
2024-01-21,M114,A78,16471,16016,15997
2024-01-21,M115,Reno8 T,10745,9745,10147
2024-01-21,M116,X5 Pro,23211,20704,23537
2024-01-21,M117,M6 Pro,27341,31755,29891
2024-01-21,M118,Zero 5G 2023,15997,14174,16363
2024-01-21,M119,Spark 10,24387,22077,24091
2024-01-22,M100,Galaxy M14,24247,23615,24288
2024-01-22,M101,Galaxy A15,11947,11757,10683
2024-01-22,M102,Note 12,11239,11154,11595
2024-01-22,M103,12C,16524,15774,16294
2024-01-22,M104,Narzo 60,18422,20034,17578
2024-01-22,M105,C55,23760,22649,23250
2024-01-22,M106,Z7 5G,13316,12567,13961
2024-01-22,M107,Neo 7 Pro,25079,22314,25255
2024-01-22,M108,Nord CE 3 Lite,11334,11382,11457
2024-01-22,M109,Nord 3 5G,23611,22132,22724
2024-01-22,M110,G73 5G,19011,18729,19040
2024-01-22,M111,Edge 40 Neo,20463,23125,20733
2024-01-22,M112,T2 5G,19568,17903,20000
2024-01-22,M113,Y27,20657,21767,21569
2024-01-22,M114,A78,21671,20332,22203
2024-01-22,M115,Reno8 T,13052,11815,12423
2024-01-22,M116,X5 Pro,17051,15764,16251
2024-01-22,M117,M6 Pro,27543,29313,25015
2024-01-22,M118,Zero 5G 2023,22399,20597,21004
2024-01-22,M119,Spark 10,12112,11713,11081
2024-01-23,M100,Galaxy M14,26164,27099,24563
2024-01-23,M101,Galaxy A15,21219,17815,18070
2024-01-23,M102,Note 12,19283,16493,16333
2024-01-23,M103,12C,16023,17486,15459
2024-01-23,M104,Narzo 60,13173,12696,13413
2024-01-23,M105,C55,22668,22233,21063
2024-01-23,M106,Z7 5G,22496,21077,22523
2024-01-23,M107,Neo 7 Pro,19451,18751,20004
2024-01-23,M108,Nord CE 3 Lite,26073,27177,24246
2024-01-23,M109,Nord 3 5G,20072,18783,20057
2024-01-23,M110,G73 5G,19441,20077,20160
2024-01-23,M111,Edge 40 Neo,22948,26516,23411
2024-01-23,M112,T2 5G,22523,21580,20661
2024-01-23,M113,Y27,28139,24671,26002
2024-01-23,M114,A78,28660,26789,26420
2024-01-23,M115,Reno8 T,23816,23396,23499
2024-01-23,M116,X5 Pro,18207,19343,19184
2024-01-23,M117,M6 Pro,14637,15683,16075
2024-01-23,M118,Zero 5G 2023,19022,17650,18876
2024-01-23,M119,Spark 10,15880,14500,15573
2024-01-24,M100,Galaxy M14,23376,23183,21161
2024-01-24,M101,Galaxy A15,14110,13309,13714
2024-01-24,M102,Note 12,21456,23989,20205
2024-01-24,M103,12C,31292,30475,29494
2024-01-24,M104,Narzo 60,12659,10631,11980
2024-01-24,M105,C55,23046,22108,22967
2024-01-24,M106,Z7 5G,14018,13398,14074
2024-01-24,M107,Neo 7 Pro,13417,14535,14104
2024-01-24,M108,Nord CE 3 Lite,12863,12187,12923
2024-01-24,M109,Nord 3 5G,17262,19249,17360
2024-01-24,M110,G73 5G,13037,11559,12388
2024-01-24,M111,Edge 40 Neo,12465,11413,12630
2024-01-24,M112,T2 5G,25269,25171,24119
2024-01-24,M113,Y27,21142,19412,19235
2024-01-24,M114,A78,27347,28835,26371
2024-01-24,M115,Reno8 T,16502,16774,16027
2024-01-24,M116,X5 Pro,24141,26477,22803
2024-01-24,M117,M6 Pro,10134,10093,9440
2024-01-24,M118,Zero 5G 2023,12912,12314,13874
2024-01-24,M119,Spark 10,15108,15937,15330
2024-01-25,M100,Galaxy M14,15059,13481,13009
