date,product_id,views,clicks,add_to_cart,purchases,bounce_rate
2024-01-01,M100,475,75,15,18,66.62
2024-01-01,M101,148,35,8,7,61.85
2024-01-01,M102,674,72,32,28,78.58
2024-01-01,M103,326,84,64,14,72.94
2024-01-01,M104,22,4,0,2,33.67
2024-01-01,M105,603,173,68,35,74.89
2024-01-01,M106,986,358,133,38,32.68
2024-01-01,M107,211,82,57,11,46.4
2024-01-01,M108,154,16,9,10,48.26
2024-01-01,M109,161,23,12,6,75.98
2024-01-01,M110,323,126,48,23,45.24
2024-01-01,M111,86,23,18,3,54.48
2024-01-01,M112,393,138,37,25,56.86
2024-01-01,M113,1189,380,191,40,50.49
2024-01-01,M114,114,38,17,5,33.08
2024-01-01,M115,358,121,29,19,43.23
2024-01-01,M116,122,48,22,7,32.26
2024-01-01,M117,588,101,64,24,50.9
2024-01-01,M118,397,135,88,14,79.24
2024-01-01,M119,53,15,8,5,70.89
2024-01-02,M100,1036,257,197,35,28.28
2024-01-02,M101,674,97,63,25,47.32
2024-01-02,M102,628,227,153,36,65.9
2024-01-02,M103,49,16,10,4,21.78
2024-01-02,M104,410,67,24,21,70.34
2024-01-02,M105,175,42,32,14,29.77
2024-01-02,M106,147,44,14,14,76.61
2024-01-02,M107,894,179,133,30,70.22
2024-01-02,M108,475,67,49,16,68.98
2024-01-02,M109,543,179,50,38,53.71
2024-01-02,M110,454,127,51,24,66.36
2024-01-02,M111,558,173,45,32,47.45
2024-01-02,M112,81,25,18,8,69.34
2024-01-02,M113,595,215,110,28,30.3
2024-01-02,M114,550,129,45,25,21.81
2024-01-02,M115,472,184,123,17,77.22
2024-01-02,M116,140,19,13,8,66.26
2024-01-02,M117,387,76,58,22,79.37
2024-01-02,M118,263,28,8,11,36.94
2024-01-02,M119,459,152,87,17,21.61
2024-01-03,M100,167,54,21,7,23.81
2024-01-03,M101,738,282,193,39,46.35
2024-01-03,M102,110,34,14,11,79.77
2024-01-03,M103,26,4,2,1,33.92
2024-01-03,M104,52,13,5,2,68.7
2024-01-03,M105,557,92,68,20,72.29
2024-01-03,M106,1064,144,87,37,63.48
2024-01-03,M107,434,149,89,32,50.12
2024-01-03,M108,91,21,14,9,42.61
2024-01-03,M109,1016,239,103,36,60.67
2024-01-03,M110,741,239,182,39,54.79
2024-01-03,M111,403,53,34,35,59.03
2024-01-03,M112,518,199,156,26,63.36
2024-01-03,M113,485,178,46,34,39.71
2024-01-03,M114,252,82,65,15,22.78
2024-01-03,M115,393,45,28,15,78.64
2024-01-03,M116,56,14,2,3,46.78
2024-01-03,M117,33,6,1,3,50.79
2024-01-03,M118,436,51,26,16,58.44
2024-01-03,M119,173,46,14,14,44.13
2024-01-04,M100,911,175,111,37,76.75
2024-01-04,M101,873,176,118,31,72.21
2024-01-04,M102,145,33,22,7,39.57
2024-01-04,M103,300,114,24,27,47.46
2024-01-04,M104,202,52,31,7,77.08
2024-01-04,M105,314,113,81,22,57.88
2024-01-04,M106,175,21,10,13,52.39
2024-01-04,M107,713,222,72,28,63.15
2024-01-04,M108,357,49,14,16,67.99
2024-01-04,M109,775,177,51,36,20.93
2024-01-04,M110,383,105,38,35,70.44
2024-01-04,M111,282,107,36,16,47.38
2024-01-04,M112,489,155,55,31,60.35
2024-01-04,M113,73,15,7,4,33.1
2024-01-04,M114,325,112,45,13,58.52
2024-01-04,M115,622,195,126,28,69.28
2024-01-04,M116,816,311,63,32,24.87
2024-01-04,M117,145,32,10,14,37.9
2024-01-04,M118,1023,293,113,35,44.47
2024-01-04,M119,42,13,3,4,76.33
2024-01-05,M100,489,105,79,33,41.85
2024-01-05,M101,339,56,28,33,54.19
2024-01-05,M102,101,36,8,5,35.0
2024-01-05,M103,755,241,162,37,20.05
2024-01-05,M104,88,32,15,3,34.54
2024-01-05,M105,705,104,59,38,22.52
2024-01-05,M106,351,63,39,17,35.35
2024-01-05,M107,595,79,59,21,51.97
2024-01-05,M108,202,70,37,9,66.73
2024-01-05,M109,85,29,5,5,78.25
2024-01-05,M110,779,288,126,37,70.42
2024-01-05,M111,401,109,39,14,27.13
2024-01-05,M112,677,250,195,23,47.11
2024-01-05,M113,445,107,68,19,36.59
2024-01-05,M114,759,180,55,35,79.94
2024-01-05,M115,470,106,75,34,22.31
2024-01-05,M116,772,283,174,36,56.26
2024-01-05,M117,249,91,44,9,37.02
2024-01-05,M118,88,12,7,7,54.89
2024-01-05,M119,480,172,119,19,74.3
2024-01-06,M100,289,34,14,22,31.16
2024-01-06,M101,438,142,51,17,29.95
2024-01-06,M102,92,27,9,4,20.66
2024-01-06,M103,393,89,21,18,77.99
2024-01-06,M104,235,75,26,9,31.35
2024-01-06,M105,643,160,110,29,79.12
2024-01-06,M106,975,176,110,36,74.89
2024-01-06,M107,254,95,34,10,32.92
2024-01-06,M108,624,203,134,24,48.65
2024-01-06,M109,689,210,107,28,47.84
2024-01-06,M110,493,164,110,24,31.24
2024-01-06,M111,382,39,16,16,27.29
2024-01-06,M112,620,196,61,36,22.93
2024-01-06,M113,164,54,25,10,25.74
2024-01-06,M114,171,55,44,12,64.76
2024-01-06,M115,611,214,63,22,29.29
2024-01-06,M116,224,73,14,16,21.76
2024-01-06,M117,87,17,7,7,22.98
2024-01-06,M118,787,180,54,31,70.4
2024-01-06,M119,368,137,66,30,64.47
2024-01-07,M100,266,30,15,15,63.87
2024-01-07,M101,166,29,14,13,27.09
2024-01-07,M102,76,23,16,5,54.49
2024-01-07,M103,659,103,77,33,58.13
2024-01-07,M104,906,330,99,35,21.99
2024-01-07,M105,483,186,92,17,58.67
2024-01-07,M106,83,29,17,3,37.83
2024-01-07,M107,610,231,80,23,37.81
2024-01-07,M108,341,76,54,33,78.18
2024-01-07,M109,1034,180,43,37,51.12
2024-01-07,M110,519,137,56,28,21.86
2024-01-07,M111,846,338,176,35,45.69
2024-01-07,M112,63,25,13,5,53.52
2024-01-07,M113,238,74,22,8,74.92
2024-01-07,M114,304,113,69,27,44.14
2024-01-07,M115,257,25,7,19,48.43
2024-01-07,M116,643,126,25,27,46.91
2024-01-07,M117,224,74,20,12,76.19
2024-01-07,M118,800,226,130,36,78.69
2024-01-07,M119,218,58,11,14,38.58
2024-01-08,M100,617,139,89,21,35.46
2024-01-08,M101,223,62,26,14,77.86
2024-01-08,M102,278,51,25,11,59.63
2024-01-08,M103,723,289,160,40,25.82
2024-01-08,M104,186,49,24,16,49.75
2024-01-08,M105,216,30,21,13,79.43
2024-01-08,M106,339,40,15,16,45.14
2024-01-08,M107,146,50,34,5,59.79
2024-01-08,M108,416,59,32,37,70.0
2024-01-08,M109,631,212,60,25,55.45
2024-01-08,M110,232,84,28,10,32.6
2024-01-08,M111,321,56,30,28,63.91
2024-01-08,M112,640,143,63,34,70.8
2024-01-08,M113,306,100,58,16,20.01
2024-01-08,M114,577,183,91,30,21.54
2024-01-08,M115,593,195,92,21,71.96
2024-01-08,M116,560,136,35,33,75.38
2024-01-08,M117,111,41,21,11,39.28
2024-01-08,M118,471,65,43,16,57.79
2024-01-08,M119,445,135,38,16,49.0
2024-01-09,M100,312,115,44,19,71.83
2024-01-09,M101,513,139,37,21,36.08
2024-01-09,M102,198,31,14,10,22.22
2024-01-09,M103,118,46,34,10,41.24
2024-01-09,M104,271,71,36,27,52.68
2024-01-09,M105,350,128,37,27,39.26
2024-01-09,M106,732,139,61,27,63.1
2024-01-09,M107,59,17,13,2,41.94
2024-01-09,M108,29,3,1,1,22.81
2024-01-09,M109,501,171,34,25,23.03
2024-01-09,M110,361,111,53,35,73.54
2024-01-09,M111,156,60,31,15,39.14
2024-01-09,M112,39,4,2,2,79.08
2024-01-09,M113,514,205,159,26,67.31
