date,product_id,product_name,brand,storage_variant,category,price,units_sold,revenue,stock,discount
2024-01-01,M100,Galaxy M14,Samsung,64GB,Mobile,13648,18,245664,124,0
2024-01-01,M101,Galaxy A15,Samsung,128GB,Mobile,18024,7,126168,47,0
2024-01-01,M102,Note 12,Redmi,128GB,Mobile,27870,28,780360,105,0
2024-01-01,M103,12C,Redmi,64GB,Mobile,11041,14,154574,41,0
2024-01-01,M104,Narzo 60,Realme,128GB,Mobile,15860,2,31720,107,10
2024-01-01,M105,C55,Realme,64GB,Mobile,28390,35,993650,121,0
2024-01-01,M106,Z7 5G,iQOO,128GB,Mobile,23746,38,902348,87,0
2024-01-01,M107,Neo 7 Pro,iQOO,256GB,Mobile,19115,11,210265,127,0
2024-01-01,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,22655,10,226550,65,5
2024-01-01,M109,Nord 3 5G,OnePlus,256GB,Mobile,16202,6,97212,43,5
2024-01-01,M110,G73 5G,Motorola,128GB,Mobile,22449,23,516327,75,0
2024-01-01,M111,Edge 40 Neo,Motorola,128GB,Mobile,28292,3,84876,133,5
2024-01-01,M112,T2 5G,Vivo,128GB,Mobile,22548,25,563700,45,10
2024-01-01,M113,Y27,Vivo,64GB,Mobile,11323,40,452920,67,10
2024-01-01,M114,A78,Oppo,128GB,Mobile,19665,5,98325,54,10
2024-01-01,M115,Reno8 T,Oppo,128GB,Mobile,10350,19,196650,59,10
2024-01-01,M116,X5 Pro,Poco,256GB,Mobile,12614,7,88298,140,0
2024-01-01,M117,M6 Pro,Poco,128GB,Mobile,21332,24,511968,88,5
2024-01-01,M118,Zero 5G 2023,Infinix,128GB,Mobile,14562,14,203868,75,5
2024-01-01,M119,Spark 10,Tecno,64GB,Mobile,16873,5,84365,149,10
2024-01-02,M100,Galaxy M14,Samsung,64GB,Mobile,26964,35,943740,51,10
2024-01-02,M101,Galaxy A15,Samsung,128GB,Mobile,18021,25,450525,89,0
2024-01-02,M102,Note 12,Redmi,128GB,Mobile,16960,36,610560,118,10
2024-01-02,M103,12C,Redmi,64GB,Mobile,15476,4,61904,71,10
2024-01-02,M104,Narzo 60,Realme,128GB,Mobile,17505,21,367605,133,0
2024-01-02,M105,C55,Realme,64GB,Mobile,21987,14,307818,38,5
2024-01-02,M106,Z7 5G,iQOO,128GB,Mobile,25726,14,360164,70,10
2024-01-02,M107,Neo 7 Pro,iQOO,256GB,Mobile,25040,30,751200,143,5
2024-01-02,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,13946,16,223136,47,5
2024-01-02,M109,Nord 3 5G,OnePlus,256GB,Mobile,25554,38,971052,63,10
2024-01-02,M110,G73 5G,Motorola,128GB,Mobile,21634,24,519216,81,10
2024-01-02,M111,Edge 40 Neo,Motorola,128GB,Mobile,17186,32,549952,95,0
2024-01-02,M112,T2 5G,Vivo,128GB,Mobile,12978,8,103824,140,0
2024-01-02,M113,Y27,Vivo,64GB,Mobile,13507,28,378196,50,10
2024-01-02,M114,A78,Oppo,128GB,Mobile,29543,25,738575,79,0
2024-01-02,M115,Reno8 T,Oppo,128GB,Mobile,28049,17,476833,97,5
2024-01-02,M116,X5 Pro,Poco,256GB,Mobile,28128,8,225024,117,0
2024-01-02,M117,M6 Pro,Poco,128GB,Mobile,26215,22,576730,128,5
2024-01-02,M118,Zero 5G 2023,Infinix,128GB,Mobile,12972,11,142692,85,5
2024-01-02,M119,Spark 10,Tecno,64GB,Mobile,24867,17,422739,122,0
2024-01-03,M100,Galaxy M14,Samsung,64GB,Mobile,26403,7,184821,94,0
2024-01-03,M101,Galaxy A15,Samsung,128GB,Mobile,17801,39,694239,94,10
2024-01-03,M102,Note 12,Redmi,128GB,Mobile,16517,11,181687,77,0
2024-01-03,M103,12C,Redmi,64GB,Mobile,24906,1,24906,147,10
2024-01-03,M104,Narzo 60,Realme,128GB,Mobile,28144,2,56288,92,5
2024-01-03,M105,C55,Realme,64GB,Mobile,12981,20,259620,142,5
2024-01-03,M106,Z7 5G,iQOO,128GB,Mobile,17846,37,660302,60,0
2024-01-03,M107,Neo 7 Pro,iQOO,256GB,Mobile,12580,32,402560,123,0
2024-01-03,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,11040,9,99360,128,10
2024-01-03,M109,Nord 3 5G,OnePlus,256GB,Mobile,12786,36,460296,90,10
2024-01-03,M110,G73 5G,Motorola,128GB,Mobile,14639,39,570921,97,5
2024-01-03,M111,Edge 40 Neo,Motorola,128GB,Mobile,23865,35,835275,148,0
2024-01-03,M112,T2 5G,Vivo,128GB,Mobile,14931,26,388206,69,10
2024-01-03,M113,Y27,Vivo,64GB,Mobile,21124,34,718216,145,5
2024-01-03,M114,A78,Oppo,128GB,Mobile,24794,15,371910,61,0
2024-01-03,M115,Reno8 T,Oppo,128GB,Mobile,11493,15,172395,32,5
2024-01-03,M116,X5 Pro,Poco,256GB,Mobile,29282,3,87846,30,0
2024-01-03,M117,M6 Pro,Poco,128GB,Mobile,11929,3,35787,38,0
2024-01-03,M118,Zero 5G 2023,Infinix,128GB,Mobile,20827,16,333232,95,0
2024-01-03,M119,Spark 10,Tecno,64GB,Mobile,17212,14,240968,92,10
2024-01-04,M100,Galaxy M14,Samsung,64GB,Mobile,27669,37,1023753,122,0
2024-01-04,M101,Galaxy A15,Samsung,128GB,Mobile,27436,31,850516,61,5
2024-01-04,M102,Note 12,Redmi,128GB,Mobile,23338,7,163366,42,0
2024-01-04,M103,12C,Redmi,64GB,Mobile,22917,27,618759,84,5
2024-01-04,M104,Narzo 60,Realme,128GB,Mobile,22772,7,159404,36,10
2024-01-04,M105,C55,Realme,64GB,Mobile,11386,22,250492,123,5
2024-01-04,M106,Z7 5G,iQOO,128GB,Mobile,13580,13,176540,54,0
2024-01-04,M107,Neo 7 Pro,iQOO,256GB,Mobile,26194,28,733432,47,5
2024-01-04,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,15211,16,243376,89,5
2024-01-04,M109,Nord 3 5G,OnePlus,256GB,Mobile,11846,36,426456,133,5
2024-01-04,M110,G73 5G,Motorola,128GB,Mobile,13208,35,462280,113,0
2024-01-04,M111,Edge 40 Neo,Motorola,128GB,Mobile,10483,16,167728,148,0
2024-01-04,M112,T2 5G,Vivo,128GB,Mobile,14676,31,454956,92,5
2024-01-04,M113,Y27,Vivo,64GB,Mobile,16153,4,64612,145,5
2024-01-04,M114,A78,Oppo,128GB,Mobile,14624,13,190112,30,5
2024-01-04,M115,Reno8 T,Oppo,128GB,Mobile,17755,28,497140,66,5
2024-01-04,M116,X5 Pro,Poco,256GB,Mobile,25389,32,812448,121,10
2024-01-04,M117,M6 Pro,Poco,128GB,Mobile,15072,14,211008,67,0
2024-01-04,M118,Zero 5G 2023,Infinix,128GB,Mobile,10724,35,375340,124,10
2024-01-04,M119,Spark 10,Tecno,64GB,Mobile,10797,4,43188,70,10
2024-01-05,M100,Galaxy M14,Samsung,64GB,Mobile,10478,33,345774,91,10
2024-01-05,M101,Galaxy A15,Samsung,128GB,Mobile,27403,33,904299,37,0
2024-01-05,M102,Note 12,Redmi,128GB,Mobile,12625,5,63125,38,0
2024-01-05,M103,12C,Redmi,64GB,Mobile,16821,37,622377,45,5
